Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Gallo;1.0 in x 1.0 in x 1.0 in;Ecco Domani174 Pinot Grigio - 750ml Bottle;2017-08-01T21:13:49.000Z;sí;5;This a fantastic white wine for any occasion!
Fresh Craft Co.;4.25 in x 4.25 in x 5.25 in;Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle;2017-07-10T04:17:34.000Z;sí;5;Tart, not sweet...very refreshing and delicious!
1000 Stories;3.3 in x 3.3 in x 11.79 in;1000 Stories174 Zinfandel - 750ml Bottle;2017-10-02T12:52:27.000Z;sí;5;I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!
1000 Stories;3.3 in x 3.3 in x 11.79 in;1000 Stories174 Zinfandel - 750ml Bottle;2016-11-02T10:00:37.000Z;sí;5;This is a phenomenal wine and my new favorite red.
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Pink Moscato - 3l Bottle - Wine Cube153;2014-11-25T03:37:34.000Z;sí;5;4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.
Beck's Na;1.0 in x 1.0 in x 1.0 in;Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles;2017-09-04T04:35:11.000Z;sí;5;I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.
Gallo;1.0 in x 1.0 in x 1.0 in;Apothic174 Red Blend - 750ml Bottle;2015-11-22T05:04:03.000Z;sí;3;This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end
Gallo;1.0 in x 1.0 in x 1.0 in;Apothic174 Red Blend - 750ml Bottle;2015-11-09T04:06:16.000Z;no;2;I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Moscato White Wine - 750ml;2017-09-20T13:13:29.000Z;sí;5;Delicious and very affordable
Charles Charles;1.0 in x 1.0 in x 1.0 in;Charles Charles174 Red Blend - 750ml Bottle;2015-10-15T15:26:07.000Z;sí;5;This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.
Fancy Pants;1.0 in x 1.0 in x 1.0 in;Fancy Pants174 Sauvignon Blanc - 750ml Bottle;2015-04-11T20:59:32.000Z;sí;5;Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.
Martini Rossi;1.0 in x 1.0 in x 1.0 in;Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle;2011-12-22T03:52:36.000Z;sí;5;Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!
603 Brewery;6.5 in x 2.5 in x 9.5 in;603174 Winni Amber Ale - 6pk / 12oz Cans;2016-10-01T03:09:18.000Z;sí;5;A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!
603 Brewery;6.5 in x 2.5 in x 9.5 in;603174 White Peaks Ipa - 6pk / 12oz Cans;2016-10-01T03:12:10.000Z;sí;5;This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!
603 Brewery;6.5 in x 2.5 in x 9.5 in;603174 White Peaks Ipa - 6pk / 12oz Cans;2016-10-01T03:12:10.000Z;sí;5;This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!
Coppola;1.0 in x 1.0 in x 1.0 in;Sofia Coppola174 Riesling - 750ml Bottle;2013-05-11T19:24:51.000Z;sí;5;Great for a perfect summer day or a get together with the girls.
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Pinot Grigio White Wine - 750ml;2017-09-13T01:54:31.000Z;no;2;I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.
Sancho Libre;1.0 in x 1.0 in x 1.0 in;Sancho Libre174 Peach - 4pk / 12oz Cans;2016-12-08T17:55:50.000Z;sí;5;Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(
Modern House Wines;3.0 in x 3.0 in x 12.0 in;Modern House174 With Love Red Blend - 750ml Bottle;2014-12-09T22:59:07.000Z;sí;5;This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.
Estancia;1.0 in x 1.0 in x 1.0 in;Estancia174 Cabernet Sauvignon - 750ml Bottle;2016-01-27T15:47:00.000Z;sí;5;One of the best Cabernets I had in quite sometime......!!!!!!
VOGA Italia;1.0 in x 1.0 in x 1.0 in;Voga Italia174 Pinot Grigio - 750ml Bottle;2017-11-24T21:17:46.000Z;sí;5;This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.
Michelob Ultra;1.0 in x 1.0 in x 1.0 in;Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles;2015-11-30T17:23:24.000Z;sí;5;Gluten free plus lower on calories plus very refreshing!
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Cabernet Shiraz - 3l Bottle - Wine Cube153;2016-05-18T07:15:02.000Z;sí;5;Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Cabernet Sauvignon - 3l Bottle - Wine Cube153;2013-05-04T13:26:12.000Z;sí;3;I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.
Risata;1.0 in x 1.0 in x 1.0 in;Risata174 Moscato D'asti - 750ml Bottle;2013-12-31T22:02:31.000Z;sí;5;I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.
Barefoot;3.5 in x 3.3 in x 12.2 in;Barefoot174 Refresh Perfectly Pink - 750ml Bottle;2015-11-04T20:46:33.000Z;sí;5;Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!
Tecate;10.75 in x 8.0 in x 9.0 in;Tecate174 Beer - 12pk / 12oz Bottles;2017-11-07T21:38:55.000Z;sí;5;My favorite bottle design. The best cheap lager.
Bud Light;9.1 in x 4.38 in x 6.83 in;Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans;2017-09-13T20:40:22.000Z;sí;5;Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Cabernet Sauvignon Red Wine - 750ml;2017-09-10T00:53:11.000Z;sí;5;This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!
Middle Sister;1.0 in x 1.0 in x 1.0 in;Middle Sister174 Red Blend - 750ml Bottle;2012-06-15T01:33:27.000Z;sí;5;Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.
Robert Mondavi Winery;3.21 in x 3.21 in x 11.56 in;Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle;2016-07-02T22:39:25.000Z;sí;5;This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Riesling - 3l Bottle - Wine Cube153;2015-05-13T13:13:26.000Z;sí;5;Some of the best boxed wine I have ever tasted. Great taste and great value.
Risata;1.0 in x 1.0 in x 1.0 in;Risata174 Pink Moscato - 750ml Bottle;2017-07-08T20:44:31.000Z;sí;5;Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.
Middle Sister;1.0 in x 1.0 in x 1.0 in;Middle Sister174 Moscato - 750ml Bottle;2016-03-26T17:54:45.000Z;sí;4;Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!
Love Noir;3.3 in x 3.3 in x 12.0 in;Love Noir174 Ros233 - 750ml Bottle;2017-02-25T01:16:55.000Z;sí;5;Great fruity dry rose!
Handsome Devil;1.0 in x 1.0 in x 1.0 in;Handsome Devil174 Malbec - 750ml Bottle;2015-11-04T03:14:21.000Z;sí;5;Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.
Apothic;1.0 in x 1.0 in x 1.0 in;Apothic174 White Blend - 750ml Bottle;2017-07-29T06:00:56.000Z;sí;5;Delicious white wine! Light, crisp, not too sweet. Almost too good.
